Candidate	Score
Solution 471	0.9955749918 [0.994846896348-0.996303087349]
Solution 472	0.9955835624 [0.994855631714-0.996311493107]
Solution 473	0.9955833245 [0.994855389274-0.996311259688]
Solution 474	0.9957410060 [0.995014226191-0.996467785712]
Solution 475	0.9957407528 [0.995013968438-0.996467537102]
Solution 476	0.9957367364 [0.995009920651-0.996463552210]
Solution 477	0.9951297476 [0.994396058393-0.995863436846]
Solution 478	0.9951972638 [0.994464748559-0.995929779048]
Solution 479	0.9953425872 [0.994611454769-0.996073719535]
Solution 480	0.9953385840 [0.994607414936-0.996069753126]
